City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,San Ramon De La Nueva Oran,AR,75.0,-23.1322,-64.32600000000001,Hotel Residencial Centro
3,Rikitea,PF,77.38,-23.1203,-134.9692,Pension Maro'i
7,Vaini,TO,73.4,-21.2,-175.2,Keleti Beach Resort
8,Vallenar,CL,78.15,-28.5708,-70.7581,Humacao Bed & Breakfast
11,Tual,ID,84.02,-5.6667,132.75,Grand Vilia Hotel
12,Maragogi,BR,82.9,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
13,Kavieng,PG,81.82,-2.5744,150.7967,Nusa Island Retreat
15,Georgetown,MY,80.6,5.4112,100.3354,Cititel Penang
18,Tel Aviv-Yafo,IL,78.01,32.0805,34.7805,Ben Yehuda Apartments
21,Atuona,PF,80.06,-9.8,-139.0333,Villa Enata
22,Cartagena Del Chaira,CO,85.68,1.3349,-74.8429,HOTEL LA ROCA
23,Shakawe,BW,75.65,-18.3667,21.85,Ditlhapi Guest House
26,Axim,GH,82.56,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
29,Bambous Virieux,MU,79.0,-20.3428,57.7575,Casa Tia Villa
30,Port Alfred,ZA,70.56,-33.5906,26.891,The Halyards Hotel
31,Tautira,PF,73.4,-17.7333,-149.15,Pension Oaoa
32,Grand Gaube,MU,79.0,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
36,Cabo San Lucas,MX,82.99,22.8909,-109.9124,Hotel Tesoro Los Cabos
38,Jalu,LY,75.07,29.0331,21.5482,صاحبة الفخامة
39,Avarua,CK,78.8,-21.2078,-159.775,Paradise Inn
41,Butaritari,KI,82.22,3.0707,172.7902,Isles Sunset Lodge
42,Samarai,PG,82.96,-10.6167,150.6667,Nuli Sapi
55,Dawlatabad,AF,76.77,36.4141,64.9053,WASIM ASGAR KHAN
56,Faanui,PF,80.62,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
57,Bengkulu,ID,77.38,-3.8004,102.2655,Grage Hotel Bengkulu
60,Kavaratti,IN,84.63,10.5669,72.642,Hotels in Lakshadweep Islands
66,Sao Joao Da Barra,BR,86.0,-21.6403,-41.0511,Pousada Porto De Canoas
75,Puerto Ayora,EC,80.6,-0.7393,-90.3518,Finch Bay Galapagos Hotel
76,Kindu,CD,71.8,-2.95,25.95,Résidence Okanda
82,Palmares Do Sul,BR,70.36,-30.2578,-50.5097,Restaurante e Pensão Lopes
85,Hobyo,SO,84.74,5.3505,48.5268,Halane Hotel and Restaurent
87,Umm Lajj,SA,83.35,25.0213,37.2685,Moon light Furnished Units
88,Sakaraha,MG,71.8,-22.9,44.5333,Le Relais
91,Gweta,BW,76.77,-20.1833,25.2333,Gweta Lodge
96,Iralaya,HN,87.8,15.0,-83.2333,Iglesia morava renovada
99,Sur,OM,86.86,22.5667,59.5289,Sur Plaza Hotel
