City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mataura,-46.1927,168.8643,42.01,82,34,8.01,NZ,2021-04-25 16:56:02
1,San Ramon De La Nueva Oran,-23.1322,-64.326,75.0,68,53,1.99,AR,2021-04-25 16:56:03
2,Barrow,71.2906,-156.7887,10.4,85,1,10.36,US,2021-04-25 16:56:03
3,Rikitea,-23.1203,-134.9692,77.38,76,84,7.07,PF,2021-04-25 16:54:49
4,Bluff,-46.6,168.3333,42.01,82,76,8.01,NZ,2021-04-25 16:56:04
5,Ushuaia,-54.8,-68.3,51.8,62,75,10.36,AR,2021-04-25 16:56:04
6,Albany,42.6001,-73.9662,54.0,71,90,4.61,US,2021-04-25 16:54:09
7,Vaini,-21.2,-175.2,73.4,100,75,2.3,TO,2021-04-25 16:56:04
8,Vallenar,-28.5708,-70.7581,78.15,31,0,5.14,CL,2021-04-25 16:56:05
9,Provideniya,64.3833,-173.3,33.4,94,95,3.13,RU,2021-04-25 16:56:05
10,Nikolskoye,59.7035,30.7861,39.2,87,75,13.42,RU,2021-04-25 16:56:06
11,Tual,-5.6667,132.75,84.02,62,100,6.51,ID,2021-04-25 16:56:06
12,Maragogi,-9.0122,-35.2225,82.9,70,20,10.4,BR,2021-04-25 16:56:06
13,Kavieng,-2.5744,150.7967,81.82,77,94,4.54,PG,2021-04-25 16:56:07
14,Torbay,47.6666,-52.7314,54.0,40,20,19.57,CA,2021-04-25 16:56:07
15,Georgetown,5.4112,100.3354,80.6,89,20,2.3,MY,2021-04-25 16:56:08
16,Atar,20.5169,-13.0499,96.93,11,0,14.97,MR,2021-04-25 16:56:08
17,Guerrero Negro,27.9769,-114.0611,64.67,62,75,11.79,MX,2021-04-25 16:56:08
18,Tel Aviv-Yafo,32.0805,34.7805,78.01,53,0,3.44,IL,2021-04-25 16:56:09
19,Dunedin,-45.8742,170.5036,48.99,38,77,5.99,NZ,2021-04-25 16:53:32
20,Hasaki,35.7333,140.8333,50.0,57,40,11.5,JP,2021-04-25 16:56:09
21,Atuona,-9.8,-139.0333,80.06,71,68,18.41,PF,2021-04-25 16:53:00
22,Cartagena Del Chaira,1.3349,-74.8429,85.68,73,47,3.0,CO,2021-04-25 16:56:10
23,Shakawe,-18.3667,21.85,75.65,25,44,3.36,BW,2021-04-25 16:56:10
24,Kolvereid,64.8655,11.6047,39.2,56,75,12.66,NO,2021-04-25 16:56:11
25,San Carlos De Bariloche,-41.1456,-71.3082,64.0,47,0,3.09,AR,2021-04-25 16:56:11
26,Axim,4.8699,-2.2405,82.56,74,97,7.87,GH,2021-04-25 16:56:11
27,Ilulissat,69.2167,-51.1,50.0,43,20,18.41,GL,2021-04-25 16:56:12
28,Thompson,55.7435,-97.8558,33.8,44,75,6.91,CA,2021-04-25 16:56:12
29,Bambous Virieux,-20.3428,57.7575,79.0,88,75,14.97,MU,2021-04-25 16:55:07
30,Port Alfred,-33.5906,26.891,70.56,71,97,16.22,ZA,2021-04-25 16:54:11
31,Tautira,-17.7333,-149.15,73.4,88,40,3.44,PF,2021-04-25 16:56:13
32,Grand Gaube,-20.0064,57.6608,79.0,79,100,8.99,MU,2021-04-25 16:56:13
33,Tuktoyaktuk,69.4541,-133.0374,10.4,92,90,10.36,CA,2021-04-25 16:56:13
34,Buenos Aires,-34.6132,-58.3772,66.99,59,40,5.75,AR,2021-04-25 16:52:45
35,Lompoc,34.6391,-120.4579,55.0,71,100,3.44,US,2021-04-25 16:53:00
36,Cabo San Lucas,22.8909,-109.9124,82.99,33,20,3.44,MX,2021-04-25 16:56:14
37,Vestmanna,62.1564,-7.1664,46.4,93,100,12.66,FO,2021-04-25 16:56:15
38,Jalu,29.0331,21.5482,75.07,39,0,16.37,LY,2021-04-25 16:56:15
39,Avarua,-21.2078,-159.775,78.8,83,40,9.22,CK,2021-04-25 16:56:16
40,Constitucion,-35.3333,-72.4167,65.39,55,0,12.71,CL,2021-04-25 16:56:16
41,Butaritari,3.0707,172.7902,82.22,77,27,10.6,KI,2021-04-25 16:56:17
42,Samarai,-10.6167,150.6667,82.96,77,89,12.86,PG,2021-04-25 16:56:17
43,New Norfolk,-42.7826,147.0587,57.0,81,100,1.01,AU,2021-04-25 16:56:17
44,Vila,42.0304,-8.1588,60.01,78,99,5.99,PT,2021-04-25 16:56:18
45,Charters Towers,-20.1,146.2667,67.35,92,100,8.08,AU,2021-04-25 16:56:18
46,Punta Arenas,-53.15,-70.9167,57.2,47,40,21.85,CL,2021-04-25 16:56:19
47,Cape Town,-33.9258,18.4232,69.01,82,0,16.11,ZA,2021-04-25 16:54:03
48,Fernandopolis,-20.2839,-50.2464,90.95,17,89,6.04,BR,2021-04-25 16:56:19
49,Qaanaaq,77.484,-69.3632,31.24,72,85,3.83,GL,2021-04-25 16:56:19
50,Katsuura,35.1333,140.3,57.2,54,75,17.27,JP,2021-04-25 16:56:20
51,Voznesenye,61.0106,35.4781,39.47,95,100,1.07,RU,2021-04-25 16:56:20
52,Busselton,-33.65,115.3333,55.99,95,8,4.76,AU,2021-04-25 16:56:21
53,Jamestown,42.097,-79.2353,52.0,81,90,12.66,US,2021-04-25 16:56:14
54,Hamilton,39.1834,-84.5333,59.0,76,90,5.75,US,2021-04-25 16:56:21
55,Dawlatabad,36.4141,64.9053,76.77,17,72,4.97,AF,2021-04-25 16:56:21
56,Faanui,-16.4833,-151.75,80.62,65,8,3.33,PF,2021-04-25 16:56:22
57,Bengkulu,-3.8004,102.2655,77.38,86,100,4.81,ID,2021-04-25 16:56:22
58,Chilca,-12.5211,-76.7372,68.0,94,90,9.22,PE,2021-04-25 16:56:23
59,Sitka,57.0531,-135.33,48.2,57,1,4.61,US,2021-04-25 16:56:23
60,Kavaratti,10.5669,72.642,84.63,71,6,10.58,IN,2021-04-25 16:56:23
61,Sakaiminato,35.55,133.2333,51.8,40,20,16.11,JP,2021-04-25 16:56:24
62,San Jose,37.3394,-121.895,57.0,67,90,5.75,US,2021-04-25 16:51:24
63,Yellowknife,62.456,-114.3525,6.8,56,75,5.75,CA,2021-04-25 16:56:25
64,Juxtlahuaca,17.4294,-99.1467,92.19,30,85,3.58,MX,2021-04-25 16:56:25
65,Nelspruit,-25.4745,30.9703,68.0,60,0,8.05,ZA,2021-04-25 16:56:25
66,Sao Joao Da Barra,-21.6403,-41.0511,86.0,54,40,2.3,BR,2021-04-25 16:56:26
67,Hermanus,-34.4187,19.2345,64.0,80,100,0.92,ZA,2021-04-25 16:54:49
68,Saskylakh,71.9167,114.0833,16.11,95,100,7.58,RU,2021-04-25 16:56:26
69,Itoman,26.1247,127.6694,68.0,77,0,6.91,JP,2021-04-25 16:56:27
70,Ossora,59.2353,163.0719,30.34,94,100,4.79,RU,2021-04-25 16:56:27
71,Klamath Falls,42.2249,-121.7817,39.2,75,90,12.66,US,2021-04-25 16:51:52
72,Krasnoselkup,65.7,82.4667,16.66,89,30,6.6,RU,2021-04-25 16:56:28
73,Khatanga,71.9667,102.5,7.05,83,97,18.99,RU,2021-04-25 16:54:18
74,Necochea,-38.5473,-58.7368,64.0,69,99,4.0,AR,2021-04-25 16:56:28
75,Puerto Ayora,-0.7393,-90.3518,80.6,74,20,13.8,EC,2021-04-25 16:56:29
76,Kindu,-2.95,25.95,71.8,92,99,2.68,CD,2021-04-25 16:56:29
77,Longyearbyen,78.2186,15.6401,23.0,68,40,17.27,SJ,2021-04-25 16:56:29
78,East London,-33.0153,27.9116,69.8,78,0,8.05,ZA,2021-04-25 16:56:30
79,Shihezi,44.3,86.0333,47.7,24,43,7.18,CN,2021-04-25 16:56:30
80,Siderno,38.2779,16.302,66.2,42,66,10.36,IT,2021-04-25 16:56:31
81,Carnarvon,-24.8667,113.6333,64.4,88,1,6.91,AU,2021-04-25 16:55:27
82,Palmares Do Sul,-30.2578,-50.5097,70.36,72,78,16.82,BR,2021-04-25 16:53:07
83,Pacific Grove,36.6177,-121.9166,55.99,75,100,5.19,US,2021-04-25 16:56:31
84,Severo-Kurilsk,50.6789,156.125,31.57,97,100,9.75,RU,2021-04-25 16:56:32
85,Hobyo,5.3505,48.5268,84.74,63,72,12.97,SO,2021-04-25 16:56:32
86,Adrar,20.5022,-10.0711,98.28,10,4,10.65,MR,2021-04-25 16:56:33
87,Umm Lajj,25.0213,37.2685,83.35,49,0,4.52,SA,2021-04-25 16:56:33
88,Sakaraha,-22.9,44.5333,71.8,79,17,6.33,MG,2021-04-25 16:56:33
89,Upernavik,72.7868,-56.1549,35.38,87,27,4.05,GL,2021-04-25 16:56:34
90,Lagoa,39.05,-27.9833,59.54,79,30,14.43,PT,2021-04-25 16:56:34
91,Gweta,-20.1833,25.2333,76.77,21,4,7.65,BW,2021-04-25 16:56:35
92,Esperance,-33.8667,121.9,62.6,63,2,14.97,AU,2021-04-25 16:56:35
93,Praia Da Vitoria,38.7333,-27.0667,64.99,72,75,17.16,PT,2021-04-25 16:56:35
94,Binghamton,42.0987,-75.918,50.0,81,90,6.91,US,2021-04-25 16:56:36
95,Ribeira Grande,38.5167,-28.7,64.4,72,20,5.75,PT,2021-04-25 16:52:58
96,Iralaya,15.0,-83.2333,87.8,70,20,9.22,HN,2021-04-25 16:56:36
97,Chokurdakh,70.6333,147.9167,17.51,94,100,13.44,RU,2021-04-25 16:56:37
98,Khandyga,62.6667,135.6,12.47,93,99,4.21,RU,2021-04-25 16:56:37
99,Sur,22.5667,59.5289,86.86,41,0,6.93,OM,2021-04-25 16:56:38
100,Vestmannaeyjar,63.4427,-20.2734,46.4,87,40,11.5,IS,2021-04-25 16:56:38
101,Hilo,19.7297,-155.09,68.0,77,40,4.61,US,2021-04-25 16:56:38
102,Kloulklubed,7.0419,134.2556,82.4,78,90,4.61,PW,2021-04-25 16:56:39
103,Kodiak,57.79,-152.4072,39.2,81,90,12.66,US,2021-04-25 16:55:08
104,Mutsu,41.2894,141.2169,42.01,60,19,8.01,JP,2021-04-25 16:56:39
105,Kasama,-10.2129,31.1808,63.0,87,65,3.44,ZM,2021-04-25 16:56:40
106,Khorramshahr,30.4397,48.1664,98.6,11,0,2.3,IR,2021-04-25 16:56:40
107,Calama,-22.4667,-68.9333,66.2,11,0,9.22,CL,2021-04-25 16:56:40
108,Kununurra,-15.7667,128.7333,60.8,88,76,3.44,AU,2021-04-25 16:53:15
109,Puerto Leguizamo,-0.1934,-74.7819,90.81,52,54,1.95,CO,2021-04-25 16:56:41
110,Zhuzhou,27.8333,113.15,60.8,100,40,8.95,CN,2021-04-25 16:56:42
111,Sechura,-5.5569,-80.8222,79.2,58,44,6.82,PE,2021-04-25 16:56:42
112,Komsomolskiy,40.4272,71.7189,64.4,34,39,4.61,UZ,2021-04-25 16:56:42
113,Verkhnevilyuysk,63.4453,120.3167,31.75,98,100,4.52,RU,2021-04-25 16:56:43
114,Dikson,73.5069,80.5464,15.42,92,100,10.51,RU,2021-04-25 16:56:43
115,Cherskiy,68.75,161.3,-0.69,98,98,4.45,RU,2021-04-25 16:56:44
116,Tumarbong,10.3766,119.4579,76.32,87,58,4.56,PH,2021-04-25 16:56:44
117,Coquimbo,-29.9533,-71.3436,62.6,72,20,11.5,CL,2021-04-25 16:56:44
118,Etchoropo,26.7667,-109.6667,82.99,38,100,9.33,MX,2021-04-25 16:56:45
119,Port Elizabeth,-33.918,25.5701,66.2,68,0,2.3,ZA,2021-04-25 16:56:45
120,Mar Del Plata,-38.0023,-57.5575,64.4,63,75,16.11,AR,2021-04-25 16:56:46
121,Hervey Bay,-25.2986,152.8535,62.01,86,1,4.0,AU,2021-04-25 16:56:46
122,Saint-Philippe,-21.3585,55.7679,78.8,73,0,24.16,RE,2021-04-25 16:56:46
123,Zagare,56.3592,23.25,35.6,80,75,12.66,LT,2021-04-25 16:56:47
124,Tagusao,9.1924,117.8141,79.63,79,42,1.9,PH,2021-04-25 16:56:47
125,Nishihara,26.1842,127.7558,68.0,88,20,3.44,JP,2021-04-25 16:56:47
126,San Patricio,28.017,-97.5169,86.0,48,1,13.8,US,2021-04-25 16:56:48
127,Margate,51.3813,1.3862,48.0,63,10,8.01,GB,2021-04-25 16:56:38
128,Viedma,-40.8135,-62.9967,66.22,41,2,7.29,AR,2021-04-25 16:56:48
129,Hobart,-42.8794,147.3294,57.2,62,90,17.27,AU,2021-04-25 16:52:47
130,Zaysan,47.4667,84.8667,37.76,48,93,5.26,KZ,2021-04-25 16:56:49
131,Weymouth,42.2209,-70.9398,51.8,81,90,10.36,US,2021-04-25 16:56:49
132,Eureka,40.8021,-124.1637,48.99,90,92,5.99,US,2021-04-25 16:55:18
133,Muzhi,65.3667,64.6667,37.65,93,100,10.07,RU,2021-04-25 16:56:50
134,Clyde River,70.4692,-68.5914,19.4,100,20,17.27,CA,2021-04-25 16:56:50
135,Ustynivka,47.9551,32.5367,51.8,46,0,8.95,UA,2021-04-25 16:56:51
136,Pevek,69.7008,170.3133,19.02,95,100,11.99,RU,2021-04-25 16:56:51
137,Smithers,54.7804,-127.1743,37.4,56,1,2.3,CA,2021-04-25 16:56:51
138,Kaitangata,-46.2817,169.8464,37.0,76,41,1.99,NZ,2021-04-25 16:56:52
139,Solnechnyy,50.7214,136.6319,27.12,60,51,4.0,RU,2021-04-25 16:56:52
140,Victoria,22.2855,114.1577,73.99,93,100,1.01,HK,2021-04-25 16:56:52
141,Palmer,42.1584,-72.3287,53.01,82,90,4.63,US,2021-04-25 16:56:53
142,Bredasdorp,-34.5322,20.0403,60.8,82,100,3.44,ZA,2021-04-25 16:56:53
143,Slave Lake,55.2834,-114.769,30.2,69,1,4.61,CA,2021-04-25 16:56:54
144,Gien,47.6933,2.6309,57.6,64,85,16.35,FR,2021-04-25 16:56:54
145,Talnakh,69.4865,88.3972,-0.92,96,64,3.04,RU,2021-04-25 16:56:54
146,Iracoubo,5.4802,-53.2011,82.24,75,41,9.42,GF,2021-04-25 16:56:55
147,Rundu,-17.9333,19.7667,70.3,28,4,3.53,NA,2021-04-25 16:56:55
148,La Ronge,55.1001,-105.2842,35.6,44,100,11.5,CA,2021-04-25 16:56:55
149,Payo,-3.7508,103.6372,74.14,91,99,2.46,ID,2021-04-25 16:56:56
150,Tay Ninh,11.3,106.1,82.89,71,57,6.08,VN,2021-04-25 16:56:56
151,Mount Gambier,-37.8333,140.7667,48.2,93,90,3.24,AU,2021-04-25 16:56:57
152,Nanortalik,60.1432,-45.2371,43.09,73,100,17.6,GL,2021-04-25 16:56:57
153,Paragominas,-2.9667,-47.4833,88.63,56,63,3.51,BR,2021-04-25 16:56:57
154,Srednekolymsk,67.45,153.6833,-4.59,100,26,4.61,RU,2021-04-25 16:56:58
155,Bilibino,68.0546,166.4372,16.05,96,100,1.25,RU,2021-04-25 16:56:58
156,Airai,-8.9266,125.4092,55.33,82,22,1.92,TL,2021-04-25 16:56:58
157,Tiarei,-17.5333,-149.3333,73.4,88,40,3.44,PF,2021-04-25 16:56:59
158,Nanakuli,21.3906,-158.1547,70.0,78,1,5.75,US,2021-04-25 16:56:59
159,Cidreira,-30.1811,-50.2056,71.38,71,85,16.75,BR,2021-04-25 16:56:59
160,Arraial Do Cabo,-22.9661,-42.0278,84.2,61,0,9.22,BR,2021-04-25 16:57:00
161,Mount Isa,-20.7333,139.5,71.6,46,31,5.75,AU,2021-04-25 16:57:00
162,Port Hardy,50.6996,-127.4199,48.2,93,90,3.44,CA,2021-04-25 16:57:01
163,Camana,-16.6228,-72.7111,71.08,73,52,10.0,PE,2021-04-25 16:57:01
164,Lahij,13.1667,44.5833,79.61,66,64,7.2,YE,2021-04-25 16:57:01
165,Deputatskiy,69.3,139.9,15.22,93,100,6.35,RU,2021-04-25 16:57:02
166,Nouadhibou,20.931,-17.0347,73.4,56,0,23.02,MR,2021-04-25 16:55:12
167,Yumen,40.2833,97.2,41.88,15,88,19.39,CN,2021-04-25 16:57:02
168,Lebu,-37.6167,-73.65,60.3,73,0,12.8,CL,2021-04-25 16:57:03
169,Sabya,17.1495,42.6254,89.6,55,40,4.61,SA,2021-04-25 16:57:03
170,Seoul,37.5683,126.9778,60.8,71,0,2.3,KR,2021-04-25 16:53:55
171,Nueva Loja,0.0847,-76.8828,86.0,70,0,2.3,EC,2021-04-25 16:57:04
172,Castro,-24.7911,-50.0119,65.95,71,100,5.06,BR,2021-04-25 16:57:04
173,Lashio,22.9333,97.75,75.25,42,35,0.72,MM,2021-04-25 16:57:04
174,Shimoda,34.6667,138.95,46.99,61,63,1.99,JP,2021-04-25 16:57:05
175,Xiamen,24.4798,118.0819,71.6,64,75,11.18,CN,2021-04-25 16:57:05
176,Half Moon Bay,37.4636,-122.4286,55.99,76,90,10.36,US,2021-04-25 16:53:13
177,Tura,25.5198,90.2201,79.03,26,23,3.83,IN,2021-04-25 16:57:06
178,Sao Filipe,14.8961,-24.4956,71.87,75,87,11.48,CV,2021-04-25 16:57:06
179,Husavik,66.0449,-17.3389,39.2,93,75,13.8,IS,2021-04-25 16:57:07
180,Kapaa,22.0752,-159.319,73.4,78,40,13.8,US,2021-04-25 16:57:07
181,Nyirmihalydi,47.7398,21.9645,50.0,87,92,11.5,HU,2021-04-25 16:57:07
182,Bosaso,11.2842,49.1816,85.84,60,30,4.41,SO,2021-04-25 16:57:08
183,Athabasca,54.7169,-113.2854,39.2,30,14,12.66,CA,2021-04-25 16:57:08
184,Bama,11.5221,13.6856,99.14,15,96,4.61,NG,2021-04-25 16:57:08
185,Okakarara,-20.5833,17.4333,69.67,27,7,6.89,NA,2021-04-25 16:57:09
186,Touros,-5.1989,-35.4608,87.8,62,75,12.66,BR,2021-04-25 16:57:09
187,Kastamonu,41.5,33.6667,48.65,85,68,4.0,TR,2021-04-25 16:57:09
188,Gao,16.6362,1.637,105.1,3,23,9.15,ML,2021-04-25 16:57:10
189,Valle Hermoso,25.6667,-97.8333,86.0,65,1,10.36,MX,2021-04-25 16:57:10
190,Mjolby,58.326,15.1237,42.8,38,90,11.5,SE,2021-04-25 16:57:11
191,Yerbogachen,61.2767,108.0108,33.75,98,100,7.47,RU,2021-04-25 16:57:11
192,Ambanja,-13.6833,48.45,75.79,91,100,2.95,MG,2021-04-25 16:57:11
193,Lethem,3.3803,-59.7968,80.02,74,100,8.12,GY,2021-04-25 16:57:12
194,Chuy,-33.6971,-53.4616,68.85,47,19,11.14,UY,2021-04-25 16:57:12
