City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tuktoyaktuk,69.4541,-133.0374,-3.23,100,53,3.76,CA,2021-04-23 07:45:05
1,Rikitea,-23.1203,-134.9692,77.74,79,37,18.39,PF,2021-04-23 07:45:06
2,College,64.8569,-147.8028,48.2,52,1,8.05,US,2021-04-23 07:45:06
3,Mount Gambier,-37.8333,140.7667,57.2,72,90,6.91,AU,2021-04-23 07:45:07
4,Jamestown,42.097,-79.2353,27.0,93,1,18.41,US,2021-04-23 07:45:07
5,Saint Anthony,45.0205,-93.218,51.8,46,90,4.61,US,2021-04-23 07:45:08
6,Kodiak,57.79,-152.4072,41.0,93,90,4.61,US,2021-04-23 07:43:51
7,Brae,60.3964,-1.353,44.6,70,20,8.05,GB,2021-04-23 07:45:08
8,Bambous Virieux,-20.3428,57.7575,82.0,83,75,5.75,MU,2021-04-23 07:45:09
9,Khatanga,71.9667,102.5,33.22,99,100,16.78,RU,2021-04-23 07:45:09
10,Punta Arenas,-53.15,-70.9167,44.6,100,90,3.44,CL,2021-04-23 07:45:10
11,Mataura,-46.1927,168.8643,50.0,95,100,4.0,NZ,2021-04-23 07:45:10
12,Lisakovsk,52.5369,62.4936,57.18,37,100,15.08,KZ,2021-04-23 07:45:11
13,Isangel,-19.55,169.2667,78.71,86,44,8.79,VU,2021-04-23 07:45:11
14,Faanui,-16.4833,-151.75,80.69,74,23,15.57,PF,2021-04-23 07:45:12
15,Soubre,5.7856,-6.6083,76.78,92,100,2.57,CI,2021-04-23 07:45:12
16,Kirakira,-10.4544,161.9205,80.62,81,100,6.64,SB,2021-04-23 07:45:13
17,Butaritari,3.0707,172.7902,83.01,73,94,8.48,KI,2021-04-23 07:45:13
18,Hambantota,6.1241,81.1185,91.4,66,40,6.91,LK,2021-04-23 07:45:13
19,Kushmurun,52.4503,64.6311,54.39,30,100,14.61,KZ,2021-04-23 07:45:14
20,Bredasdorp,-34.5322,20.0403,55.4,100,4,5.75,ZA,2021-04-23 07:45:14
21,Lebu,-37.6167,-73.65,49.93,78,2,2.86,CL,2021-04-23 07:45:15
22,Albany,42.6001,-73.9662,37.0,48,8,8.01,US,2021-04-23 07:42:06
23,Ostrovnoy,68.0531,39.5131,35.85,87,99,10.33,RU,2021-04-23 07:45:15
24,Comodoro Rivadavia,-45.8667,-67.5,44.6,81,0,6.33,AR,2021-04-23 07:45:16
25,Sioux Lookout,50.1001,-91.917,44.6,42,40,4.61,CA,2021-04-23 07:45:16
